math_problem
5 divided by 47 equals 0.11
20 minus 72 equals -52
68 divided by 37 equals 1.84
53 plus 94 equals 147
64 plus 70 equals 134
19 times 88 equals 1672
25 divided by 51 equals 0.49
85 minus 63 equals 22
57 minus 30 equals 27
17 plus 74 equals 91
54 plus 72 equals 126
46 minus 1 equals 45
34 divided by 88 equals 0.39
13 divided by 91 equals 0.14
1 divided by 24 equals 0.04
35 minus 73 equals -38
30 divided by 98 equals 0.31
46 minus 97 equals -51
42 times 55 equals 2310
88 divided by 81 equals 1.09
38 times 1 equals 38
46 divided by 98 equals 0.47
46 times 41 equals 1886
13 plus 80 equals 93
58 plus 36 equals 94
52 plus 70 equals 122
13 divided by 99 equals 0.13
59 plus 80 equals 139
43 divided by 53 equals 0.81
53 times 15 equals 795
58 minus 60 equals -2
54 divided by 41 equals 1.32
60 plus 87 equals 147
94 minus 56 equals 38
20 plus 5 equals 25
61 plus 61 equals 122
36 minus 61 equals -25
82 divided by 52 equals 1.58
49 times 60 equals 2940
25 plus 18 equals 43
54 divided by 15 equals 3.6
18 minus 0 equals 18
69 plus 43 equals 112
50 plus 47 equals 97
89 divided by 77 equals 1.16
26 minus 49 equals -23
79 minus 14 equals 65
80 divided by 44 equals 1.82
65 plus 38 equals 103
34 times 67 equals 2278
81 times 0 equals 0
58 plus 89 equals 147
54 divided by 15 equals 3.6
88 times 15 equals 1320
4 divided by 28 equals 0.14
30 plus 33 equals 63
79 minus 41 equals 38
69 times 34 equals 2346
26 minus 14 equals 12
36 plus 42 equals 78
80 divided by 58 equals 1.38
75 divided by 99 equals 0.76
84 divided by 92 equals 0.91
100 plus 21 equals 121
57 minus 49 equals 8
71 times 3 equals 213
41 minus 97 equals -56
33 plus 80 equals 113
53 times 4 equals 212
59 minus 90 equals -31
41 minus 9 equals 32
61 plus 92 equals 153
12 divided by 18 equals 0.67
75 divided by 93 equals 0.81
59 plus 93 equals 152
28 times 10 equals 280
31 minus 23 equals 8
70 divided by 13 equals 5.38
91 divided by 3 equals 30.33
11 plus 73 equals 84
75 times 61 equals 4575
59 plus 48 equals 107
80 minus 98 equals -18
50 plus 61 equals 111
48 times 87 equals 4176
20 divided by 95 equals 0.21
28 divided by 15 equals 1.87
73 divided by 45 equals 1.62
43 plus 17 equals 60
71 times 88 equals 6248
26 divided by 64 equals 0.41
50 times 28 equals 1400
64 times 95 equals 6080
36 minus 43 equals -7
62 minus 31 equals 31
22 plus 45 equals 67
11 minus 33 equals -22
79 divided by 51 equals 1.55
92 plus 64 equals 156
64 plus 51 equals 115
51 times 90 equals 4590
45 minus 31 equals 14
71 minus 36 equals 35
21 divided by 32 equals 0.66
38 minus 93 equals -55
21 divided by 62 equals 0.34
52 minus 47 equals 5
1 minus 100 equals -99
27 divided by 9 equals 3.0
86 divided by 8 equals 10.75
32 divided by 47 equals 0.68
70 minus 4 equals 66
62 times 96 equals 5952
41 divided by 11 equals 3.73
97 plus 12 equals 109
68 times 62 equals 4216
20 times 81 equals 1620
64 minus 95 equals -31
40 divided by 94 equals 0.43
67 divided by 7 equals 9.57
80 plus 51 equals 131
63 divided by 72 equals 0.88
21 times 48 equals 1008
41 plus 78 equals 119
8 minus 39 equals -31
53 minus 2 equals 51
70 times 45 equals 3150
14 minus 53 equals -39
68 divided by 17 equals 4.0
97 plus 80 equals 177
27 times 59 equals 1593
37 divided by 55 equals 0.67
51 times 52 equals 2652
20 times 78 equals 1560
17 divided by 86 equals 0.2
97 divided by 14 equals 6.93
56 plus 5 equals 61
71 minus 26 equals 45
65 plus 21 equals 86
31 minus 48 equals -17
55 minus 13 equals 42
5 plus 67 equals 72
73 divided by 76 equals 0.96
23 divided by 17 equals 1.35
87 plus 21 equals 108
80 times 67 equals 5360
58 divided by 16 equals 3.62
59 times 73 equals 4307
67 times 74 equals 4958
28 divided by 23 equals 1.22
46 times 100 equals 4600
31 plus 68 equals 99
56 times 36 equals 2016
36 times 30 equals 1080
75 plus 69 equals 144
69 divided by 33 equals 2.09
58 divided by 45 equals 1.29
20 divided by 51 equals 0.39
68 minus 18 equals 50
18 plus 83 equals 101
37 plus 96 equals 133
65 minus 99 equals -34
50 divided by 41 equals 1.22
70 times 51 equals 3570
89 plus 52 equals 141
91 minus 8 equals 83
57 plus 16 equals 73
29 plus 3 equals 32
46 plus 64 equals 110
7 times 81 equals 567
90 plus 55 equals 145
24 divided by 34 equals 0.71
17 times 32 equals 544
13 plus 68 equals 81
89 divided by 87 equals 1.02
89 times 23 equals 2047
70 divided by 56 equals 1.25
74 plus 91 equals 165
60 plus 97 equals 157
65 divided by 77 equals 0.84
36 times 96 equals 3456
72 plus 1 equals 73
23 times 37 equals 851
33 times 46 equals 1518
23 plus 11 equals 34
51 plus 52 equals 103
36 divided by 97 equals 0.37
20 times 20 equals 400
56 minus 78 equals -22
99 plus 27 equals 126
49 minus 72 equals -23
96 plus 93 equals 189
36 divided by 64 equals 0.56
84 divided by 54 equals 1.56
79 minus 42 equals 37
40 divided by 44 equals 0.91
49 minus 53 equals -4
22 times 34 equals 748
49 plus 46 equals 95
21 plus 78 equals 99
78 divided by 51 equals 1.53
15 divided by 35 equals 0.43
84 minus 42 equals 42
28 times 45 equals 1260
13 divided by 16 equals 0.81
14 minus 37 equals -23
43 divided by 38 equals 1.13
97 plus 79 equals 176
17 times 69 equals 1173
49 times 75 equals 3675
38 times 95 equals 3610
52 plus 79 equals 131
57 divided by 27 equals 2.11
59 minus 11 equals 48
48 divided by 74 equals 0.65
23 times 56 equals 1288
